Company_Name,NAIC_Code,Filing_State,Filing_Date,LOB,Rate_Change_Type,Rate_Change_Percent,Effective_Date,Prior_Rate_Level,New_Rate_Level,Filed_Territories,Market_Share_State,Avg_Premium_Before,Avg_Premium_After,Competitor_Positioning,Product_Tier,Filed_By,Approved_Status,Approval_Date
Cedar Ridge Insurance,37516,WA,2025-06-13,Workers Comp,New Filing,0.0,2025-08-25,1.0,1.0,"WA-Central, WA-South",1.1,2042,2042,At Market Avg,Mid-Tier,Actuarial Department,Approved,2025-08-14
Coastal Shield Insurance,55387,CA,2025-04-20,Commercial Auto,Rate Increase,3.0,2025-08-02,1.0,1.03,"CA-East, CA-West",6.8,1709,1760,At Market Avg,Premium,Actuarial Department,Pending,
Coastal Shield Insurance,55387,FL,2025-06-20,Commercial Auto,Rate Increase,6.6,2025-09-20,1.0,1.066,"FL-North, FL-East",7.2,915,975,Premium Above Market Avg,Budget,Actuarial Department,Pending,
Coastal Shield Insurance,55387,MA,2025-07-18,Commercial Auto,Rate Increase,3.1,2025-10-19,1.0,1.031,"MA-West, MA-East, MA-Central",4.6,2154,2221,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-10-18
Coastal Shield Insurance,55387,MD,2025-11-12,Commercial Auto,Rate Decrease,-1.1,2026-01-14,1.0,0.989,"MD-Central, MD-North, MD-West",7.4,1618,1600,At Market Avg,Mid-Tier,Actuarial Department,Pending,
Coastal Shield Insurance,55387,NC,2024-12-08,Commercial Auto,Rate Increase,8.3,2025-03-01,1.0,1.083,"NC-North, NC-South",9.3,1670,1809,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-02-28
Coastal Shield Insurance,55387,NJ,2024-06-19,Commercial Auto,Rate Decrease,-1.4,2024-08-11,1.0,0.986,"NJ-North, NJ-West",3.1,1435,1415,At Market Avg,Premium,Actuarial Department,Pending,
Coastal Shield Insurance,55387,NY,2024-05-14,Commercial Auto,Rate Increase,2.6,2024-08-06,1.0,1.026,"NY-West, NY-East, NY-South",5.4,1920,1970,At Market Avg,Mid-Tier,Actuarial Department,Approved,2024-06-12
Coastal Shield Insurance,55387,OR,2025-11-05,Commercial Auto,Rate Decrease,-3.7,2025-12-13,1.0,0.963,"OR-South, OR-Central, OR-East",8.3,1315,1266,Premium Below Market Avg,Mid-Tier,Actuarial Department,Pending,
Coastal Shield Insurance,55387,VA,2025-04-09,Commercial Auto,Rate Increase,6.3,2025-05-29,1.0,1.063,"VA-North, VA-South",5.7,2067,2197,Premium Above Market Avg,Premium,Actuarial Department,Approved,2025-06-01
Coastal Shield Insurance,55387,WA,2024-10-30,Commercial Auto,Rate Increase,11.1,2025-02-25,1.0,1.111,"WA-North, WA-South, WA-West",3.0,1335,1483,Premium Above Market Avg,Premium,Actuarial Department,Approved,2025-01-29
Coastal Shield Insurance,55387,CA,2025-11-02,Homeowners,Rate Increase,10.4,2026-02-23,1.0,1.104,"CA-West, CA-Central",9.3,2858,3155,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2026-01-04
Coastal Shield Insurance,55387,FL,2025-06-25,Homeowners,Rate Decrease,-6.5,2025-08-07,1.0,0.935,"FL-South, FL-East, FL-West",1.5,3433,3210,Premium Below Market Avg,Mid-Tier,Actuarial Department,Approved,2025-08-14
Coastal Shield Insurance,55387,MA,2024-10-03,Homeowners,Rate Increase,3.5,2025-01-11,1.0,1.035,"MA-Central, MA-South",4.7,2404,2488,Premium Above Market Avg,Budget,Actuarial Department,Approved,2024-12-25
Coastal Shield Insurance,55387,MD,2025-09-24,Homeowners,New Filing,0.0,2025-12-19,1.0,1.0,"MD-West, MD-North",1.7,1954,1954,At Market Avg,Premium,Actuarial Department,Pending,
Coastal Shield Insurance,55387,NC,2025-11-07,Homeowners,Rate Increase,3.8,2025-12-26,1.0,1.038,"NC-South, NC-North",5.8,1673,1737,Premium Above Market Avg,Mid-Tier,Actuarial Department,Withdrawn,
Coastal Shield Insurance,55387,NJ,2024-05-21,Homeowners,Rate Increase,7.1,2024-06-22,1.0,1.071,"NJ-West, NJ-East, NJ-South",5.2,2159,2312,Premium Above Market Avg,Budget,Actuarial Department,Approved,2024-06-14
Coastal Shield Insurance,55387,NY,2025-09-15,Homeowners,Rate Decrease,-5.0,2026-01-07,1.0,0.95,"NY-West, NY-Central",3.5,1498,1423,Premium Below Market Avg,Mid-Tier,Actuarial Department,Approved,2025-11-29
Coastal Shield Insurance,55387,OR,2025-08-24,Homeowners,Rate Increase,3.2,2025-09-30,1.0,1.032,"OR-Central, OR-North, OR-South",13.5,3029,3126,Premium Above Market Avg,Mid-Tier,Actuarial Department,Rejected,
Coastal Shield Insurance,55387,VA,2025-11-21,Homeowners,Rate Increase,2.3,2026-01-19,1.0,1.023,"VA-North, VA-South",1.8,2366,2420,At Market Avg,Mid-Tier,Actuarial Department,Pending,
Coastal Shield Insurance,55387,WA,2025-05-12,Homeowners,Rate Increase,11.7,2025-06-19,1.0,1.117,"WA-North, WA-East, WA-South",6.9,1959,2188,Premium Above Market Avg,Mid-Tier,Actuarial Department,Pending,
Coastal Shield Insurance,55387,CA,2025-08-14,Personal Auto,Rate Increase,3.7,2025-10-10,1.0,1.037,"CA-East, CA-Central, CA-South",4.6,1148,1190,Premium Above Market Avg,Mid-Tier,Actuarial Department,Pending,
Coastal Shield Insurance,55387,FL,2025-02-08,Personal Auto,Rate Increase,8.4,2025-05-14,1.0,1.084,"FL-North, FL-Central",2.9,1314,1424,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-04-10
Coastal Shield Insurance,55387,MA,2024-11-02,Personal Auto,Rate Increase,9.4,2025-01-23,1.0,1.094,"MA-Central, MA-South",4.3,935,1023,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2024-12-30
Coastal Shield Insurance,55387,MD,2025-09-08,Personal Auto,Rate Increase,5.2,2025-11-06,1.0,1.052,"MD-Central, MD-West, MD-North",3.4,1366,1437,Premium Above Market Avg,Premium,Actuarial Department,Pending,
Coastal Shield Insurance,55387,NC,2025-01-25,Personal Auto,Rate Decrease,-1.1,2025-05-05,1.0,0.989,"NC-Central, NC-West",7.2,1233,1219,At Market Avg,Budget,Actuarial Department,Approved,2025-05-02
Coastal Shield Insurance,55387,NJ,2024-07-23,Personal Auto,Rate Decrease,-1.5,2024-10-19,1.0,0.985,"NJ-West, NJ-Central, NJ-South",1.0,1143,1126,At Market Avg,Mid-Tier,Actuarial Department,Pending,
Coastal Shield Insurance,55387,NY,2025-08-07,Personal Auto,Rate Increase,1.7,2025-09-25,1.0,1.017,"NY-Central, NY-South",6.7,932,948,At Market Avg,Budget,Actuarial Department,Rejected,
Coastal Shield Insurance,55387,OR,2025-10-27,Personal Auto,Rate Increase,8.7,2025-11-29,1.0,1.087,"OR-North, OR-South",3.7,1395,1516,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-11-28
Coastal Shield Insurance,55387,VA,2025-11-19,Personal Auto,Rate Increase,1.5,2025-12-26,1.0,1.015,"VA-West, VA-South",5.8,1179,1197,At Market Avg,Mid-Tier,Actuarial Department,Approved,2026-01-16
Coastal Shield Insurance,55387,WA,2025-02-21,Personal Auto,Rate Increase,10.2,2025-04-11,1.0,1.102,"WA-West, WA-East",16.3,1118,1232,Premium Above Market Avg,Budget,Actuarial Department,Approved,2025-03-30
Coastal Shield Insurance,55387,CA,2025-11-17,Workers Comp,Rate Increase,10.6,2025-12-29,1.0,1.106,"CA-Central, CA-East",7.3,2806,3103,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2026-01-13
Coastal Shield Insurance,55387,FL,2025-02-20,Workers Comp,Rate Decrease,-7.7,2025-05-29,1.0,0.923,"FL-North, FL-East",0.7,1140,1052,Premium Below Market Avg,Mid-Tier,Actuarial Department,Approved,2025-04-06
Coastal Shield Insurance,55387,MA,2025-06-11,Workers Comp,Rate Increase,10.9,2025-09-24,1.0,1.109,"MA-East, MA-West",2.2,1955,2168,Premium Above Market Avg,Budget,Actuarial Department,Approved,2025-08-25
Coastal Shield Insurance,55387,MD,2024-07-18,Workers Comp,Rate Decrease,-6.2,2024-09-23,1.0,0.938,"MD-South, MD-West, MD-East",6.8,2811,2637,Premium Below Market Avg,Premium,Actuarial Department,Approved,2024-09-12
Coastal Shield Insurance,55387,NC,2025-06-07,Workers Comp,Rate Decrease,-6.9,2025-08-29,1.0,0.931,"NC-Central, NC-West, NC-North",3.9,1707,1589,Premium Below Market Avg,Mid-Tier,Actuarial Department,Approved,2025-08-18
Coastal Shield Insurance,55387,NJ,2025-04-20,Workers Comp,Rate Decrease,-1.1,2025-07-15,1.0,0.989,"NJ-West, NJ-Central",10.2,1626,1608,At Market Avg,Budget,Actuarial Department,Approved,2025-06-13
Coastal Shield Insurance,55387,NY,2025-06-18,Workers Comp,Rate Increase,1.8,2025-07-28,1.0,1.018,"NY-North, NY-South",3.9,1195,1217,At Market Avg,Mid-Tier,Actuarial Department,Approved,2025-07-10
Coastal Shield Insurance,55387,OR,2025-11-03,Workers Comp,Rate Increase,1.4,2026-02-04,1.0,1.014,"OR-West, OR-North",7.3,1678,1701,At Market Avg,Mid-Tier,Actuarial Department,Approved,2026-01-24
Coastal Shield Insurance,55387,VA,2024-11-12,Workers Comp,New Filing,0.0,2025-02-26,1.0,1.0,"VA-South, VA-Central",6.3,2038,2038,At Market Avg,Premium,Actuarial Department,Pending,
Coastal Shield Insurance,55387,WA,2025-10-31,Workers Comp,Rate Decrease,-6.0,2026-02-22,1.0,0.94,"WA-Central, WA-West",4.5,1216,1143,Premium Below Market Avg,Premium,Actuarial Department,Approved,2026-02-15
Crescent National,40629,CA,2024-08-07,Commercial Auto,Rate Increase,9.7,2024-09-24,1.0,1.097,"CA-Central, CA-South",1.0,1634,1792,Premium Above Market Avg,Budget,Actuarial Department,Pending,
Crescent National,40629,FL,2025-08-25,Commercial Auto,Rate Increase,9.7,2025-10-13,1.0,1.097,"FL-South, FL-North",11.5,1687,1851,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-09-14
Crescent National,40629,MA,2024-11-27,Commercial Auto,Rate Increase,7.7,2025-02-28,1.0,1.077,"MA-West, MA-East",3.2,1818,1958,Premium Above Market Avg,Premium,Actuarial Department,Approved,2025-02-24
Crescent National,40629,MD,2024-08-19,Commercial Auto,Rate Increase,8.0,2024-11-28,1.0,1.08,"MD-Central, MD-East",2.9,2387,2578,Premium Above Market Avg,Budget,Actuarial Department,Pending,
Crescent National,40629,NC,2025-03-11,Commercial Auto,Rate Increase,4.9,2025-06-14,1.0,1.049,"NC-West, NC-North",1.6,909,954,Premium Above Market Avg,Premium,Actuarial Department,Pending,
Crescent National,40629,NJ,2024-11-12,Commercial Auto,Rate Decrease,-6.9,2025-02-15,1.0,0.931,"NJ-West, NJ-South",1.6,1078,1004,Premium Below Market Avg,Premium,Actuarial Department,Rejected,
Crescent National,40629,NY,2025-02-09,Commercial Auto,Rate Increase,2.1,2025-03-26,1.0,1.021,"NY-West, NY-East",5.8,1967,2008,At Market Avg,Budget,Actuarial Department,Pending,
Crescent National,40629,OR,2025-07-20,Commercial Auto,Rate Decrease,-7.5,2025-10-12,1.0,0.925,"OR-Central, OR-East, OR-North",4.2,1473,1363,Premium Below Market Avg,Mid-Tier,Actuarial Department,Approved,2025-10-08
Crescent National,40629,VA,2024-05-18,Commercial Auto,Rate Decrease,-4.2,2024-08-27,1.0,0.958,"VA-North, VA-South",5.7,1801,1725,Premium Below Market Avg,Budget,Actuarial Department,Rejected,
Crescent National,40629,WA,2025-08-04,Commercial Auto,Rate Increase,2.7,2025-10-06,1.0,1.027,"WA-West, WA-North",2.4,2031,2086,At Market Avg,Budget,Actuarial Department,Pending,
Crescent National,40629,CA,2025-05-20,Homeowners,Rate Increase,9.1,2025-07-17,1.0,1.091,"CA-Central, CA-East, CA-South",4.2,3363,3669,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-07-16
Crescent National,40629,FL,2025-05-31,Homeowners,Rate Decrease,-4.5,2025-08-01,1.0,0.955,"FL-West, FL-Central, FL-South",6.8,1768,1688,Premium Below Market Avg,Budget,Actuarial Department,Approved,2025-07-12
Crescent National,40629,MA,2025-10-10,Homeowners,Rate Increase,8.0,2025-12-15,1.0,1.08,"MA-North, MA-East",4.8,2950,3186,Premium Above Market Avg,Budget,Actuarial Department,Pending,
Crescent National,40629,MD,2024-05-08,Homeowners,Rate Increase,10.0,2024-07-07,1.0,1.1,"MD-South, MD-East, MD-Central",3.1,1186,1305,Premium Above Market Avg,Mid-Tier,Actuarial Department,Rejected,
Crescent National,40629,NC,2025-01-24,Homeowners,Rate Decrease,-7.8,2025-04-07,1.0,0.922,"NC-South, NC-Central",4.7,2405,2217,Premium Below Market Avg,Budget,Actuarial Department,Approved,2025-03-23
Crescent National,40629,NJ,2024-08-05,Homeowners,Rate Increase,1.2,2024-09-17,1.0,1.012,"NJ-West, NJ-Central",6.1,3412,3453,At Market Avg,Mid-Tier,Actuarial Department,Approved,2024-09-09
Crescent National,40629,NY,2024-09-28,Homeowners,Rate Increase,3.4,2024-12-24,1.0,1.034,"NY-East, NY-North, NY-South",5.0,1804,1865,Premium Above Market Avg,Premium,Actuarial Department,Approved,2024-11-03
Crescent National,40629,OR,2025-11-01,Homeowners,Rate Decrease,-4.8,2026-01-20,1.0,0.952,"OR-Central, OR-West",6.5,1258,1198,Premium Below Market Avg,Budget,Actuarial Department,Approved,2025-12-20
Crescent National,40629,VA,2024-07-13,Homeowners,Rate Increase,8.4,2024-08-15,1.0,1.084,"VA-East, VA-Central, VA-West",1.8,1978,2144,Premium Above Market Avg,Budget,Actuarial Department,Approved,2024-09-02
Crescent National,40629,WA,2025-07-10,Homeowners,Rate Decrease,-6.5,2025-09-22,1.0,0.935,"WA-Central, WA-East",5.9,1797,1680,Premium Below Market Avg,Mid-Tier,Actuarial Department,Pending,
Crescent National,40629,CA,2025-08-27,Personal Auto,Rate Decrease,-5.8,2025-09-30,1.0,0.942,"CA-East, CA-West",2.8,1344,1266,Premium Below Market Avg,Budget,Actuarial Department,Approved,2025-09-28
Crescent National,40629,FL,2024-11-21,Personal Auto,Rate Increase,3.0,2024-12-23,1.0,1.03,"FL-Central, FL-South",10.2,887,914,At Market Avg,Mid-Tier,Actuarial Department,Approved,2024-12-26
Crescent National,40629,MA,2025-07-15,Personal Auto,Rate Increase,3.9,2025-11-10,1.0,1.039,"MA-North, MA-South, MA-East",7.8,1116,1160,Premium Above Market Avg,Premium,Actuarial Department,Rejected,
Crescent National,40629,MD,2025-09-27,Personal Auto,Rate Increase,6.2,2025-12-30,1.0,1.062,"MD-West, MD-East",6.6,1102,1170,Premium Above Market Avg,Mid-Tier,Actuarial Department,Pending,
Crescent National,40629,NC,2024-10-12,Personal Auto,Rate Increase,10.3,2025-01-21,1.0,1.103,"NC-Central, NC-East, NC-North",6.9,1118,1233,Premium Above Market Avg,Premium,Actuarial Department,Withdrawn,
Crescent National,40629,NJ,2025-03-18,Personal Auto,Rate Increase,5.3,2025-05-21,1.0,1.053,"NJ-West, NJ-North",4.9,1325,1395,Premium Above Market Avg,Budget,Actuarial Department,Approved,2025-05-14
Crescent National,40629,NY,2025-01-16,Personal Auto,Rate Decrease,-6.3,2025-02-19,1.0,0.937,"NY-West, NY-South",1.0,1264,1184,Premium Below Market Avg,Mid-Tier,Actuarial Department,Pending,
Crescent National,40629,OR,2025-06-02,Personal Auto,Rate Increase,5.7,2025-09-10,1.0,1.057,"OR-East, OR-South, OR-Central",6.0,1004,1061,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-08-23
Crescent National,40629,VA,2025-09-01,Personal Auto,Rate Increase,1.8,2025-10-15,1.0,1.018,"VA-West, VA-Central, VA-East",8.8,1213,1235,At Market Avg,Mid-Tier,Actuarial Department,Approved,2025-10-07
Crescent National,40629,WA,2025-01-04,Personal Auto,Rate Increase,6.9,2025-04-03,1.0,1.069,"WA-East, WA-South",10.7,801,856,Premium Above Market Avg,Mid-Tier,Actuarial Department,Rejected,
Crescent National,40629,CA,2024-06-02,Workers Comp,Rate Decrease,-5.5,2024-08-11,1.0,0.945,"CA-North, CA-South, CA-East",2.5,1608,1520,Premium Below Market Avg,Premium,Actuarial Department,Approved,2024-07-18
Crescent National,40629,FL,2024-11-24,Workers Comp,Rate Increase,2.6,2025-01-08,1.0,1.026,"FL-North, FL-East",1.8,1457,1495,At Market Avg,Mid-Tier,Actuarial Department,Approved,2025-01-07
Crescent National,40629,MA,2024-08-05,Workers Comp,Rate Decrease,-6.0,2024-10-24,1.0,0.94,"MA-West, MA-East",5.4,1009,948,Premium Below Market Avg,Budget,Actuarial Department,Approved,2024-09-05
Crescent National,40629,MD,2025-03-28,Workers Comp,Rate Decrease,-6.1,2025-06-12,1.0,0.939,"MD-East, MD-Central",6.2,953,895,Premium Below Market Avg,Premium,Actuarial Department,Approved,2025-05-22
Crescent National,40629,NC,2025-03-06,Workers Comp,Rate Increase,8.8,2025-05-23,1.0,1.088,"NC-Central, NC-South",6.3,2322,2526,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-05-12
Crescent National,40629,NJ,2025-09-26,Workers Comp,Rate Increase,11.3,2025-11-10,1.0,1.113,"NJ-East, NJ-West, NJ-North",5.4,2863,3187,Premium Above Market Avg,Mid-Tier,Actuarial Department,Pending,
Crescent National,40629,NY,2024-07-03,Workers Comp,Rate Increase,9.6,2024-10-02,1.0,1.096,"NY-East, NY-West",3.9,2548,2793,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2024-08-22
Crescent National,40629,OR,2024-08-31,Workers Comp,Rate Decrease,-1.7,2024-10-28,1.0,0.983,"OR-South, OR-West",2.6,1138,1119,At Market Avg,Mid-Tier,Actuarial Department,Pending,
Crescent National,40629,VA,2025-08-12,Workers Comp,Rate Increase,3.2,2025-10-29,1.0,1.032,"VA-North, VA-East",6.2,2934,3028,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-10-26
Crescent National,40629,WA,2024-05-15,Workers Comp,Rate Increase,2.0,2024-07-02,1.0,1.02,"WA-South, WA-East",1.5,2311,2357,At Market Avg,Mid-Tier,Actuarial Department,Approved,2024-06-23
HarborPoint Casualty,76194,CA,2025-07-21,Commercial Auto,New Filing,0.0,2025-09-14,1.0,1.0,"CA-North, CA-Central",0.8,1517,1517,At Market Avg,Premium,Actuarial Department,Approved,2025-08-18
HarborPoint Casualty,76194,FL,2025-06-19,Commercial Auto,Rate Decrease,-5.3,2025-08-19,1.0,0.947,"FL-South, FL-West",2.4,1594,1510,Premium Below Market Avg,Mid-Tier,Actuarial Department,Approved,2025-08-02
HarborPoint Casualty,76194,MA,2024-12-29,Commercial Auto,Rate Increase,7.0,2025-03-09,1.0,1.07,"MA-Central, MA-West",4.1,1852,1982,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-03-03
HarborPoint Casualty,76194,MD,2025-01-25,Commercial Auto,Rate Increase,4.1,2025-04-10,1.0,1.041,"MD-West, MD-Central",9.1,2180,2269,Premium Above Market Avg,Mid-Tier,Actuarial Department,Pending,
HarborPoint Casualty,76194,NC,2025-10-26,Commercial Auto,Rate Decrease,-6.5,2026-02-17,1.0,0.935,"NC-North, NC-West",3.1,2154,2014,Premium Below Market Avg,Mid-Tier,Actuarial Department,Approved,2026-01-11
HarborPoint Casualty,76194,NJ,2024-10-27,Commercial Auto,Rate Increase,7.5,2024-12-02,1.0,1.075,"NJ-Central, NJ-North",2.1,1155,1242,Premium Above Market Avg,Budget,Actuarial Department,Approved,2024-11-21
HarborPoint Casualty,76194,NY,2025-02-22,Commercial Auto,Rate Decrease,-1.8,2025-05-31,1.0,0.982,"NY-North, NY-Central",0.9,2296,2255,At Market Avg,Premium,Actuarial Department,Approved,2025-04-08
HarborPoint Casualty,76194,OR,2025-10-25,Commercial Auto,Rate Decrease,-3.6,2026-01-20,1.0,0.964,"OR-Central, OR-South, OR-East",13.1,2274,2192,Premium Below Market Avg,Mid-Tier,Actuarial Department,Pending,
HarborPoint Casualty,76194,VA,2025-08-09,Commercial Auto,Rate Increase,5.6,2025-12-02,1.0,1.056,"VA-East, VA-Central",1.5,903,954,Premium Above Market Avg,Mid-Tier,Actuarial Department,Pending,
HarborPoint Casualty,76194,WA,2024-05-13,Commercial Auto,Rate Increase,7.0,2024-07-11,1.0,1.07,"WA-West, WA-North",4.1,1731,1852,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2024-07-09
HarborPoint Casualty,76194,CA,2024-08-30,Homeowners,Rate Increase,3.4,2024-10-26,1.0,1.034,"CA-Central, CA-West",5.5,2909,3008,Premium Above Market Avg,Budget,Actuarial Department,Approved,2024-09-21
HarborPoint Casualty,76194,FL,2024-07-27,Homeowners,Rate Increase,2.3,2024-10-13,1.0,1.023,"FL-East, FL-Central",4.0,2729,2792,At Market Avg,Premium,Actuarial Department,Rejected,
HarborPoint Casualty,76194,MA,2024-11-04,Homeowners,Rate Increase,9.7,2024-12-28,1.0,1.097,"MA-Central, MA-East",8.6,2773,3042,Premium Above Market Avg,Premium,Actuarial Department,Approved,2024-12-20
HarborPoint Casualty,76194,MD,2025-06-24,Homeowners,Rate Increase,4.7,2025-10-02,1.0,1.047,"MD-East, MD-North",3.1,3028,3170,Premium Above Market Avg,Premium,Actuarial Department,Approved,2025-08-11
HarborPoint Casualty,76194,NC,2025-10-11,Homeowners,Rate Increase,3.0,2025-12-15,1.0,1.03,"NC-Central, NC-South, NC-West",14.5,3362,3463,At Market Avg,Budget,Actuarial Department,Approved,2025-11-05
HarborPoint Casualty,76194,NJ,2024-06-04,Homeowners,Rate Increase,5.1,2024-09-01,1.0,1.051,"NJ-North, NJ-West, NJ-East",2.1,2955,3106,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2024-08-17
HarborPoint Casualty,76194,NY,2025-04-28,Homeowners,Rate Decrease,-6.6,2025-07-24,1.0,0.934,"NY-East, NY-Central, NY-West",1.5,2038,1903,Premium Below Market Avg,Budget,Actuarial Department,Approved,2025-06-09
HarborPoint Casualty,76194,OR,2025-11-22,Homeowners,Rate Decrease,-7.0,2026-03-17,1.0,0.93,"OR-West, OR-South, OR-North",1.5,2539,2361,Premium Below Market Avg,Premium,Actuarial Department,Pending,
HarborPoint Casualty,76194,VA,2025-02-19,Homeowners,Rate Decrease,-4.9,2025-06-18,1.0,0.951,"VA-West, VA-North",6.8,1734,1649,Premium Below Market Avg,Premium,Actuarial Department,Approved,2025-06-02
HarborPoint Casualty,76194,WA,2024-09-28,Homeowners,Rate Increase,4.1,2024-11-23,1.0,1.041,"WA-West, WA-East",2.8,2957,3078,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2024-10-15
HarborPoint Casualty,76194,CA,2025-11-21,Personal Auto,Rate Increase,5.6,2026-01-24,1.0,1.056,"CA-North, CA-South, CA-Central",2.3,1389,1467,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-12-19
HarborPoint Casualty,76194,FL,2025-01-14,Personal Auto,Rate Increase,7.3,2025-03-22,1.0,1.073,"FL-Central, FL-North",5.8,993,1065,Premium Above Market Avg,Budget,Actuarial Department,Approved,2025-03-15
HarborPoint Casualty,76194,MA,2025-07-28,Personal Auto,Rate Increase,9.6,2025-11-09,1.0,1.096,"MA-Central, MA-South",4.5,1209,1325,Premium Above Market Avg,Budget,Actuarial Department,Rejected,
HarborPoint Casualty,76194,MD,2024-08-28,Personal Auto,Rate Increase,7.4,2024-11-26,1.0,1.074,"MD-North, MD-East",7.0,1103,1185,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2024-10-31
HarborPoint Casualty,76194,NC,2025-11-08,Personal Auto,Rate Decrease,-6.6,2026-03-01,1.0,0.934,"NC-Central, NC-North, NC-West",6.2,934,872,Premium Below Market Avg,Mid-Tier,Actuarial Department,Approved,2026-02-03
HarborPoint Casualty,76194,NJ,2025-07-27,Personal Auto,Rate Increase,9.2,2025-11-04,1.0,1.092,"NJ-North, NJ-South",6.6,1423,1554,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-09-25
HarborPoint Casualty,76194,NY,2024-08-21,Personal Auto,Rate Decrease,-7.4,2024-10-17,1.0,0.926,"NY-South, NY-East",4.4,876,811,Premium Below Market Avg,Mid-Tier,Actuarial Department,Pending,
HarborPoint Casualty,76194,OR,2024-05-24,Personal Auto,Rate Increase,1.9,2024-09-14,1.0,1.019,"OR-Central, OR-East, OR-North",3.8,1442,1469,At Market Avg,Premium,Actuarial Department,Approved,2024-07-30
HarborPoint Casualty,76194,VA,2024-12-04,Personal Auto,New Filing,0.0,2025-01-10,1.0,1.0,"VA-North, VA-South, VA-East",4.8,1514,1514,At Market Avg,Mid-Tier,Actuarial Department,Approved,2025-01-16
HarborPoint Casualty,76194,WA,2024-07-05,Personal Auto,Rate Increase,3.5,2024-08-23,1.0,1.035,"WA-West, WA-North",5.4,807,835,Premium Above Market Avg,Budget,Actuarial Department,Approved,2024-08-19
HarborPoint Casualty,76194,CA,2025-11-14,Workers Comp,Rate Increase,3.8,2026-01-31,1.0,1.038,"CA-South, CA-Central",3.1,1225,1272,Premium Above Market Avg,Budget,Actuarial Department,Approved,2025-12-31
HarborPoint Casualty,76194,FL,2025-02-21,Workers Comp,Rate Decrease,-2.0,2025-04-01,1.0,0.98,"FL-West, FL-North",5.5,1020,1000,At Market Avg,Mid-Tier,Actuarial Department,Approved,2025-03-30
HarborPoint Casualty,76194,MA,2025-10-07,Workers Comp,Rate Decrease,-6.4,2025-11-20,1.0,0.936,"MA-South, MA-Central",2.0,1934,1810,Premium Below Market Avg,Mid-Tier,Actuarial Department,Pending,
HarborPoint Casualty,76194,MD,2025-03-18,Workers Comp,Rate Increase,9.8,2025-05-02,1.0,1.098,"MD-West, MD-Central",4.2,2092,2297,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-04-30
HarborPoint Casualty,76194,NC,2025-10-28,Workers Comp,New Filing,0.0,2026-02-11,1.0,1.0,"NC-South, NC-West",3.4,2847,2847,At Market Avg,Premium,Actuarial Department,Approved,2026-01-28
HarborPoint Casualty,76194,NJ,2025-10-21,Workers Comp,Rate Decrease,-3.6,2026-01-17,1.0,0.964,"NJ-Central, NJ-East",7.9,2209,2129,Premium Below Market Avg,Mid-Tier,Actuarial Department,Approved,2026-01-04
HarborPoint Casualty,76194,NY,2025-08-19,Workers Comp,Rate Increase,3.2,2025-10-11,1.0,1.032,"NY-West, NY-East",2.7,1883,1943,Premium Above Market Avg,Mid-Tier,Actuarial Department,Pending,
HarborPoint Casualty,76194,OR,2025-01-22,Workers Comp,Rate Decrease,-6.3,2025-03-09,1.0,0.937,"OR-South, OR-North, OR-Central",2.3,995,932,Premium Below Market Avg,Mid-Tier,Actuarial Department,Approved,2025-02-23
HarborPoint Casualty,76194,VA,2024-10-22,Workers Comp,Rate Increase,6.5,2025-02-15,1.0,1.065,"VA-South, VA-Central",2.0,2524,2688,Premium Above Market Avg,Premium,Actuarial Department,Approved,2025-01-27
HarborPoint Casualty,76194,WA,2025-01-18,Workers Comp,Rate Increase,9.8,2025-04-19,1.0,1.098,"WA-Central, WA-East",9.1,1713,1881,Premium Above Market Avg,Budget,Actuarial Department,Approved,2025-03-24
Heritage Specialty,76303,CA,2024-12-08,Commercial Auto,Rate Increase,4.2,2025-01-27,1.0,1.042,"CA-Central, CA-North, CA-East",1.6,1859,1937,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-02-04
