Company,LOB,Date,Currency,State,NetEarnedPremium_MUSD,NetWrittenPremium_MUSD,GrossWrittenPremium_MUSD,ClaimPaid_MUSD,LAE_MUSD,LossRatio_Pct,Expenses_MUSD,Retention_Ratio_Pct,Combined_Ratio_Pct,AvgSettlementDays,LitigationRate_Pct,ClaimSettlementRatio_Pct,RenewalRate_Pct,NewPoliciesIssued_Pct
Cedar Ridge Insurance,Homeowners,12/31/2023,USD,CA,679,693,700,455,58,75.6,244,99,111.49,18,0.68,96.6,10.94,1.77
Cedar Ridge Insurance,Homeowners,12/31/2024,USD,CA,4104,4186,4228,2678,267,71.8,1335,99.01,104.29,19,0.77,96.5,12.27,4.55
Cedar Ridge Insurance,Homeowners,12/31/2023,USD,FL,592,604,610,396,50,75.3,213,99.02,111.32,25,0.29,94.42,10.16,1.11
Cedar Ridge Insurance,Homeowners,12/31/2024,USD,FL,779,795,803,508,51,71.8,285,99,108.34,24,0.51,95.46,13.8,3.62
Cedar Ridge Insurance,Homeowners,12/31/2023,USD,MA,525,536,541,352,45,75.6,189,99.08,111.62,21,0.63,96.72,12.64,1.01
Cedar Ridge Insurance,Homeowners,12/31/2024,USD,MA,4960,5059,5110,3237,322,71.8,1644,99,104.9,24,0.77,96.34,10.62,3.12
Cedar Ridge Insurance,Homeowners,12/31/2023,USD,MD,313,319,322,210,27,75.7,113,99.07,111.82,18,0.76,96.44,12.58,1.53
Cedar Ridge Insurance,Homeowners,12/31/2024,USD,MD,685,699,706,447,45,71.8,220,99.01,103.94,19,0.4,95.47,10.64,4.39
Cedar Ridge Insurance,Homeowners,12/31/2023,USD,NC,209,213,215,140,18,75.6,75,99.07,111.48,23,0.27,96.77,13.3,1.05
Cedar Ridge Insurance,Homeowners,12/31/2024,USD,NC,2001,2041,2061,1306,130,71.8,696,99.03,106.55,21,0.47,97.93,13.29,2.87
Cedar Ridge Insurance,Homeowners,12/31/2023,USD,NJ,448,457,462,300,38,75.4,161,98.92,111.38,18,0.61,96.21,12.02,1.95
Cedar Ridge Insurance,Homeowners,12/31/2024,USD,NJ,65,66,67,42,4,70.8,22,98.51,104.62,23,0.32,95.62,13.21,4.28
Cedar Ridge Insurance,Homeowners,12/31/2023,USD,NY,877,895,904,587,75,75.5,316,99,111.52,22,0.29,96.15,10.16,1.03
Cedar Ridge Insurance,Homeowners,12/31/2024,USD,NY,2150,2193,2215,1403,140,71.8,777,99.01,107.91,23,0.53,96.67,15,2.95
Cedar Ridge Insurance,Homeowners,12/31/2023,USD,OR,259,264,267,173,22,75.3,93,98.88,111.2,24,0.72,95.58,13.58,1.7
Cedar Ridge Insurance,Homeowners,12/31/2024,USD,OR,657,670,677,429,43,71.8,237,98.97,107.91,25,0.45,95.73,12.28,4.75
Cedar Ridge Insurance,Homeowners,12/31/2023,USD,VA,182,186,188,122,15,75.3,66,98.94,111.54,27,0.22,95.93,10.54,1.28
Cedar Ridge Insurance,Homeowners,12/31/2024,USD,VA,2685,2739,2766,1752,175,71.8,902,99.02,105.36,20,0.38,95.24,10.73,2.84
Cedar Ridge Insurance,Homeowners,12/31/2023,USD,WA,6,7,8,4,1,83.3,2,87.5,116.67,25,0.85,96.77,14.41,1.96
Cedar Ridge Insurance,Homeowners,12/31/2024,USD,WA,1382,1410,1424,902,90,71.8,508,99.02,108.54,24,0.7,95.69,12.82,2.3
Cedar Ridge Insurance,Personal Auto,12/31/2023,USD,CA,2020,2081,2324,1320,162,73.4,638,89.54,104.95,24,2.25,95.42,15,2.8
Cedar Ridge Insurance,Personal Auto,12/31/2024,USD,CA,2843,2928,3238,1819,213,71.5,854,90.43,101.51,14,3.82,97.33,14.1,5.56
Cedar Ridge Insurance,Personal Auto,12/31/2023,USD,FL,736,758,847,481,59,73.4,232,89.49,104.89,17,2.33,95.85,10.33,2.13
Cedar Ridge Insurance,Personal Auto,12/31/2024,USD,FL,1257,1295,1432,804,94,71.4,388,90.43,102.31,16,2.45,97.95,11.07,8.27
Cedar Ridge Insurance,Personal Auto,12/31/2023,USD,MA,2641,2720,3037,1725,211,73.3,827,89.56,104.62,19,3.34,94.39,10.09,2.45
Cedar Ridge Insurance,Personal Auto,12/31/2024,USD,MA,5682,5852,6472,3635,426,71.5,1653,90.42,100.56,20,3.25,96.36,11.22,6.99
Cedar Ridge Insurance,Personal Auto,12/31/2023,USD,MD,930,958,1070,608,74,73.3,296,89.53,105.16,12,3.52,94.59,11.77,2.38
Cedar Ridge Insurance,Personal Auto,12/31/2024,USD,MD,4440,4573,5057,2840,333,71.5,1376,90.43,102.45,25,2.66,97.7,10,9.79
Cedar Ridge Insurance,Personal Auto,12/31/2023,USD,NC,2035,2096,2340,1330,163,73.4,667,89.57,106.14,9,3.63,94.7,11.59,2.29
Cedar Ridge Insurance,Personal Auto,12/31/2024,USD,NC,1234,1271,1406,789,93,71.5,376,90.4,101.94,20,3.17,97.53,12.5,6.97
Cedar Ridge Insurance,Personal Auto,12/31/2023,USD,NJ,550,567,633,359,44,73.3,180,89.57,106,21,3.8,95.9,14.35,2.46
Cedar Ridge Insurance,Personal Auto,12/31/2024,USD,NJ,2590,2668,2951,1657,194,71.5,797,90.41,102.24,24,2.78,95.65,10.99,5.75
Cedar Ridge Insurance,Personal Auto,12/31/2023,USD,NY,4747,4889,5459,3101,380,73.3,1521,89.56,105.37,18,3.6,95.41,14.54,2.64
Cedar Ridge Insurance,Personal Auto,12/31/2024,USD,NY,6721,6923,7656,4299,504,71.5,1992,90.43,101.1,27,3.52,95.01,13.57,9.33
Cedar Ridge Insurance,Personal Auto,12/31/2023,USD,OR,1363,1404,1568,890,109,73.3,444,89.54,105.87,28,3.69,94.77,14.5,2.29
Cedar Ridge Insurance,Personal Auto,12/31/2024,USD,OR,96,99,109,61,7,70.8,29,90.83,101.04,27,2.39,96.23,14.56,9.24
Cedar Ridge Insurance,Personal Auto,12/31/2023,USD,VA,2028,2089,2332,1325,162,73.3,644,89.58,105.08,16,2.19,96.82,10.67,2.21
Cedar Ridge Insurance,Personal Auto,12/31/2024,USD,VA,2280,2348,2596,1458,171,71.4,666,90.45,100.66,22,3.86,97.49,11.06,8.47
Cedar Ridge Insurance,Personal Auto,12/31/2023,USD,WA,8603,8861,9894,5621,688,73.3,2795,89.56,105.82,20,2.55,95.1,12.07,2.88
Cedar Ridge Insurance,Personal Auto,12/31/2024,USD,WA,87,90,100,56,7,72.4,26,90,102.3,21,2.92,95.83,13.2,8.86
Cedar Ridge Insurance,Workers Comp,12/31/2023,USD,CA,242,246,295,169,17,76.9,62,83.39,102.48,371,19.36,96.88,-1.47,0.78
Cedar Ridge Insurance,Workers Comp,12/31/2024,USD,CA,106,107,125,70,7,72.6,25,85.6,96.23,423,10.36,98.67,-1.47,0.44
Cedar Ridge Insurance,Workers Comp,12/31/2023,USD,FL,359,365,439,251,25,76.9,84,83.14,100.28,359,11.25,96.7,-1.47,0.76
Cedar Ridge Insurance,Workers Comp,12/31/2024,USD,FL,109,110,129,72,7,72.5,28,85.27,98.17,423,19.61,95.52,-1.47,0.21
Cedar Ridge Insurance,Workers Comp,12/31/2023,USD,MA,368,374,450,258,26,77.2,86,83.11,100.54,391,19.7,95.02,-1.47,1.58
Cedar Ridge Insurance,Workers Comp,12/31/2024,USD,MA,82,83,98,55,5,73.2,19,84.69,96.34,251,17.57,96.41,-1.47,0.2
Cedar Ridge Insurance,Workers Comp,12/31/2023,USD,MD,311,316,380,218,22,77.2,77,83.16,101.93,203,10.6,95.49,-1.47,0.63
Cedar Ridge Insurance,Workers Comp,12/31/2024,USD,MD,653,666,781,434,42,72.9,167,85.28,98.47,379,11.17,98.42,-1.47,0.33
Cedar Ridge Insurance,Workers Comp,12/31/2023,USD,NC,34,35,43,24,2,76.5,8,81.4,100,433,13.09,96.24,-1.47,1.33
Cedar Ridge Insurance,Workers Comp,12/31/2024,USD,NC,109,111,130,72,7,72.5,26,85.38,96.33,558,16.14,96.01,-1.47,0.36
Cedar Ridge Insurance,Workers Comp,12/31/2023,USD,NJ,639,651,783,447,45,77,162,83.14,102.35,393,18.52,96.34,-1.47,1.48
Cedar Ridge Insurance,Workers Comp,12/31/2024,USD,NJ,7,8,10,5,0,71.4,2,80,100,371,10.2,98.24,-1.47,0.46
Cedar Ridge Insurance,Workers Comp,12/31/2023,USD,NY,100,101,121,70,7,77,25,83.47,102,267,11.92,95.04,-1.47,1.71
Cedar Ridge Insurance,Workers Comp,12/31/2024,USD,NY,79,81,95,53,5,73.4,19,85.26,97.47,231,17.79,95.25,-1.47,0.44
Cedar Ridge Insurance,Workers Comp,12/31/2023,USD,OR,740,754,907,518,52,77,171,83.13,100.14,278,14.18,95.32,-1.47,0.64
Cedar Ridge Insurance,Workers Comp,12/31/2024,USD,OR,18,19,23,12,1,72.2,4,82.61,94.44,452,17.16,96.9,-1.47,0.37
Cedar Ridge Insurance,Workers Comp,12/31/2023,USD,VA,55,56,68,38,4,76.4,13,82.35,100,306,14.64,96.64,-1.47,1.34
Cedar Ridge Insurance,Workers Comp,12/31/2024,USD,VA,192,196,230,128,13,73.4,48,85.22,98.44,550,16.22,95.51,-1.47,0.48
Cedar Ridge Insurance,Workers Comp,12/31/2023,USD,WA,22,23,29,15,2,77.3,5,79.31,100,373,12.41,96.54,-1.47,0.24
Cedar Ridge Insurance,Workers Comp,12/31/2024,USD,WA,15,16,20,10,1,73.3,4,80,100,602,18.1,97.38,-1.47,0.08
Coastal Shield Insurance,Commercial Auto,12/31/2023,USD,CA,289,298,324,201,23,77.5,78,91.98,104.5,36,12.57,91.7,11.43,2.33
Coastal Shield Insurance,Commercial Auto,12/31/2024,USD,CA,335,345,362,220,22,72.2,86,95.3,97.91,24,7.07,91.39,8.24,5.92
Coastal Shield Insurance,Commercial Auto,12/31/2023,USD,FL,12,13,15,8,1,75,3,86.67,100,42,14.92,89.41,8.36,2.61
Coastal Shield Insurance,Commercial Auto,12/31/2024,USD,FL,216,222,233,142,14,72.2,61,95.28,100.46,21,13.94,91.63,8.1,5.76
Coastal Shield Insurance,Commercial Auto,12/31/2023,USD,MA,157,162,177,109,13,77.7,43,91.53,105.1,35,8.8,90.22,10.48,2.59
Coastal Shield Insurance,Commercial Auto,12/31/2024,USD,MA,780,803,844,513,51,72.3,214,95.14,99.74,26,14.32,94.16,10.82,7.26
Coastal Shield Insurance,Commercial Auto,12/31/2023,USD,MD,9,10,12,6,1,77.8,2,83.33,100,34,8.92,91.24,9.48,2.83
Coastal Shield Insurance,Commercial Auto,12/31/2024,USD,MD,509,524,551,335,33,72.3,108,95.1,93.52,23,6.41,94.26,10.19,5
Coastal Shield Insurance,Commercial Auto,12/31/2023,USD,NC,37,38,42,26,3,78.4,11,90.48,108.11,40,9.73,93.34,11.91,2.72
Coastal Shield Insurance,Commercial Auto,12/31/2024,USD,NC,488,503,529,321,32,72.3,117,95.09,96.31,24,5.69,91.51,9.71,8.07
Coastal Shield Insurance,Commercial Auto,12/31/2023,USD,NJ,6,7,9,4,0,66.7,1,77.78,83.33,32,7.38,92.26,8.92,2.83
Coastal Shield Insurance,Commercial Auto,12/31/2024,USD,NJ,49,50,53,32,3,71.4,12,94.34,95.92,25,6.55,92.59,11.61,6.21
Coastal Shield Insurance,Commercial Auto,12/31/2023,USD,NY,133,137,149,92,11,77.4,35,91.95,103.76,34,6.58,89.06,8.99,2.65
Coastal Shield Insurance,Commercial Auto,12/31/2024,USD,NY,298,307,323,196,19,72.1,88,95.05,101.68,23,11.22,91.25,10.45,7.4
Coastal Shield Insurance,Commercial Auto,12/31/2023,USD,OR,101,104,113,70,8,77.2,23,92.04,100,43,10.37,92.01,9.77,2.42
Coastal Shield Insurance,Commercial Auto,12/31/2024,USD,OR,754,777,817,496,49,72.3,221,95.1,101.59,23,6.47,90,9.41,5
Coastal Shield Insurance,Commercial Auto,12/31/2023,USD,VA,189,195,212,131,15,77.2,38,91.98,97.35,37,7.48,90.24,9,2.44
Coastal Shield Insurance,Commercial Auto,12/31/2024,USD,VA,28,29,31,18,2,71.4,7,93.55,96.43,25,13.32,93.75,9.52,5.77
Coastal Shield Insurance,Commercial Auto,12/31/2023,USD,WA,75,77,84,52,6,77.3,20,91.67,104,38,11.49,92.81,10.52,2.33
Coastal Shield Insurance,Commercial Auto,12/31/2024,USD,WA,327,337,354,215,21,72.2,69,95.2,93.27,19,13.08,91.25,10.27,7.94
Coastal Shield Insurance,Homeowners,12/31/2023,USD,CA,422,430,434,283,36,75.6,152,99.08,111.61,19,0.27,94.31,10.2,1.36
Coastal Shield Insurance,Homeowners,12/31/2024,USD,CA,189,193,195,123,12,71.4,62,98.97,104.23,24,0.44,95.34,13.6,4.03
Coastal Shield Insurance,Homeowners,12/31/2023,USD,FL,672,685,692,450,57,75.4,242,98.99,111.46,21,0.85,95.08,12.89,1.02
Coastal Shield Insurance,Homeowners,12/31/2024,USD,FL,219,223,225,143,14,71.7,75,99.11,105.94,25,0.4,95.6,10.95,2.47
Coastal Shield Insurance,Homeowners,12/31/2023,USD,MA,10,11,12,7,1,80,4,91.67,120,17,0.75,94.37,14.52,1.05
Coastal Shield Insurance,Homeowners,12/31/2024,USD,MA,9,10,11,6,1,77.8,3,90.91,111.11,25,0.35,96.54,12.97,4.83
Coastal Shield Insurance,Homeowners,12/31/2023,USD,MD,2715,2769,2797,1818,231,75.5,977,99,111.45,21,0.61,96.89,12.9,1.56
Coastal Shield Insurance,Homeowners,12/31/2024,USD,MD,54,55,56,35,3,70.4,19,98.21,105.56,19,0.49,97.09,11.14,4.13
Coastal Shield Insurance,Homeowners,12/31/2023,USD,NC,1720,1754,1772,1152,146,75.5,619,98.98,111.45,23,0.73,95.53,13.38,2
Coastal Shield Insurance,Homeowners,12/31/2024,USD,NC,27,28,29,18,2,74.1,10,96.55,111.11,25,0.42,95.58,14.39,2.71
Coastal Shield Insurance,Homeowners,12/31/2023,USD,NJ,2560,2611,2637,1714,218,75.5,922,99.01,111.48,28,0.76,96.22,13.7,2
Coastal Shield Insurance,Homeowners,12/31/2024,USD,NJ,35,36,37,23,2,71.4,13,97.3,108.57,30,0.5,96.45,14.69,2.48
Coastal Shield Insurance,Homeowners,12/31/2023,USD,NY,1716,1750,1768,1149,146,75.5,618,98.98,111.48,22,0.82,96.61,10.86,1.38
Coastal Shield Insurance,Homeowners,12/31/2024,USD,NY,131,134,135,85,8,71,45,99.26,105.34,16,0.4,96.8,12.45,4.81
Coastal Shield Insurance,Homeowners,12/31/2023,USD,OR,2538,2589,2615,1700,216,75.5,914,99.01,111.51,20,0.36,96.96,13.67,1.48
Coastal Shield Insurance,Homeowners,12/31/2024,USD,OR,212,216,218,138,14,71.7,76,99.08,107.55,20,0.73,95.81,15,3.87
Coastal Shield Insurance,Homeowners,12/31/2023,USD,VA,35,36,37,23,3,74.3,13,97.3,111.43,23,0.65,94.69,14.26,1.08
Coastal Shield Insurance,Homeowners,12/31/2024,USD,VA,24,25,26,16,2,75,8,96.15,108.33,20,0.86,96.25,15,4.67
Coastal Shield Insurance,Homeowners,12/31/2023,USD,WA,364,371,375,244,31,75.5,131,98.93,111.54,21,0.26,96.46,15,1.53
Coastal Shield Insurance,Homeowners,12/31/2024,USD,WA,5,6,7,3,0,60,2,85.71,100,20,0.56,95.33,11.27,2.22
Coastal Shield Insurance,Personal Auto,12/31/2023,USD,CA,3038,3129,3493,1985,243,73.3,992,89.58,105.99,20,3.31,95.6,13.64,3
Coastal Shield Insurance,Personal Auto,12/31/2024,USD,CA,8750,9012,9966,5597,656,71.5,2677,90.43,102.06,25,3.49,97.2,11.3,6.62
Coastal Shield Insurance,Personal Auto,12/31/2023,USD,FL,406,418,466,265,32,73.2,128,89.7,104.68,15,3.65,95.2,11.68,2.46
Coastal Shield Insurance,Personal Auto,12/31/2024,USD,FL,1274,1312,1451,815,96,71.5,383,90.42,101.57,17,3.66,95.07,10.01,8.31
Coastal Shield Insurance,Personal Auto,12/31/2023,USD,MA,311,320,357,203,25,73.3,100,89.64,105.47,21,2.06,94.56,13.47,2.38
Coastal Shield Insurance,Personal Auto,12/31/2024,USD,MA,23,24,27,15,2,73.9,7,88.89,104.35,18,3.99,96.12,13.92,5.07
Coastal Shield Insurance,Personal Auto,12/31/2023,USD,MD,1526,1572,1755,997,122,73.3,491,89.57,105.5,16,3.04,96.15,11.34,2.12
Coastal Shield Insurance,Personal Auto,12/31/2024,USD,MD,144,148,163,92,11,71.5,43,90.8,101.39,17,2.4,96.69,11.94,6.09
Coastal Shield Insurance,Personal Auto,12/31/2023,USD,NC,482,496,554,315,39,73.4,153,89.53,105.19,23,3.32,95.37,11.71,2.03
Coastal Shield Insurance,Personal Auto,12/31/2024,USD,NC,1252,1290,1427,801,94,71.5,374,90.4,101.36,22,2.55,95.56,14.54,10
Coastal Shield Insurance,Personal Auto,12/31/2023,USD,NJ,1293,1332,1487,845,103,73.3,418,89.58,105.65,19,2.21,94.12,14.16,2.41
Coastal Shield Insurance,Personal Auto,12/31/2024,USD,NJ,1164,1199,1326,745,87,71.5,358,90.42,102.23,17,2.48,97.59,12.74,8.57
Coastal Shield Insurance,Personal Auto,12/31/2023,USD,NY,1806,1860,2077,1180,144,73.3,576,89.55,105.2,14,2.95,96.87,11.25,2.96
Coastal Shield Insurance,Personal Auto,12/31/2024,USD,NY,4729,4871,5387,3025,355,71.5,1395,90.42,100.97,23,2.47,95.61,10.91,6.23
Coastal Shield Insurance,Personal Auto,12/31/2023,USD,OR,1335,1375,1535,872,107,73.3,420,89.58,104.79,17,3.92,96.6,14.85,2.73
Coastal Shield Insurance,Personal Auto,12/31/2024,USD,OR,127,131,144,81,10,71.7,39,90.97,102.36,18,3.19,97.83,12.06,5.59
Coastal Shield Insurance,Personal Auto,12/31/2023,USD,VA,332,342,381,217,27,73.5,108,89.76,106.02,14,3.4,96.18,11.56,2.38
Coastal Shield Insurance,Personal Auto,12/31/2024,USD,VA,954,983,1087,610,72,71.5,279,90.43,100.73,17,3.99,95.71,10.97,9.83
Coastal Shield Insurance,Personal Auto,12/31/2023,USD,WA,6,7,9,4,0,66.7,2,77.78,100,15,2.6,96.62,10.22,2.98
Coastal Shield Insurance,Personal Auto,12/31/2024,USD,WA,1672,1722,1904,1070,125,71.5,505,90.44,101.67,13,3.97,97.91,14.14,5.66
Coastal Shield Insurance,Workers Comp,12/31/2023,USD,CA,473,481,578,331,33,77,111,83.22,100.42,481,17.54,94.45,-1.47,0.21
Coastal Shield Insurance,Workers Comp,12/31/2024,USD,CA,50,51,60,33,3,72,13,85,98,628,10.97,98.05,-1.47,0.47
Coastal Shield Insurance,Workers Comp,12/31/2023,USD,FL,387,394,474,271,27,77,93,83.12,101.03,521,18.38,95.93,-1.47,0.84
Coastal Shield Insurance,Workers Comp,12/31/2024,USD,FL,123,125,146,82,8,73.2,29,85.62,96.75,397,12.72,98.74,-1.47,0.02
Coastal Shield Insurance,Workers Comp,12/31/2023,USD,MA,1251,1275,1533,876,88,77.1,322,83.17,102.8,143,19.09,97.75,-1.47,0.01
Coastal Shield Insurance,Workers Comp,12/31/2024,USD,MA,179,183,215,119,12,73.2,42,85.12,96.65,425,14.35,99,-1.47,0.29
Coastal Shield Insurance,Workers Comp,12/31/2023,USD,MD,297,302,363,208,21,77.1,71,83.2,101.01,264,13.21,94.09,-1.47,1.79
Coastal Shield Insurance,Workers Comp,12/31/2024,USD,MD,48,49,58,32,3,72.9,11,84.48,95.83,262,10.48,97.56,-1.47,0.04
Coastal Shield Insurance,Workers Comp,12/31/2023,USD,NC,345,352,424,241,24,76.8,81,83.02,100.29,184,15.3,97.37,-1.47,1.88
Coastal Shield Insurance,Workers Comp,12/31/2024,USD,NC,83,85,100,55,5,72.3,19,85,95.18,424,13.66,98.08,-1.47,0.26
Coastal Shield Insurance,Workers Comp,12/31/2023,USD,NJ,265,270,325,185,19,77,61,83.08,100,182,12.17,94.55,-1.47,0
Coastal Shield Insurance,Workers Comp,12/31/2024,USD,NJ,3,4,6,2,0,66.7,1,66.67,100,755,12.3,97.04,-1.47,0.17
Coastal Shield Insurance,Workers Comp,12/31/2023,USD,NY,501,511,614,351,35,77,116,83.22,100.2,95,12.59,96.1,-1.47,1.71
Coastal Shield Insurance,Workers Comp,12/31/2024,USD,NY,218,222,260,145,14,72.9,54,85.38,97.71,588,13.86,98.76,-1.47,0.01
Coastal Shield Insurance,Workers Comp,12/31/2023,USD,OR,1005,1025,1232,704,70,77,252,83.2,102.09,76,12.05,95.6,-1.47,0.99
Coastal Shield Insurance,Workers Comp,12/31/2024,USD,OR,44,45,53,29,3,72.7,11,84.91,97.73,684,14.08,97.8,-1.47,0.33
Coastal Shield Insurance,Workers Comp,12/31/2023,USD,VA,1012,1032,1240,708,71,77,242,83.23,100.89,174,19.38,94,-1.47,1.34
Coastal Shield Insurance,Workers Comp,12/31/2024,USD,VA,78,80,94,52,5,73.1,19,85.11,97.44,220,18.82,98.59,-1.47,0.35
Coastal Shield Insurance,Workers Comp,12/31/2023,USD,WA,653,666,801,457,46,77,167,83.15,102.6,71,18.83,97.72,-1.47,1.73
Coastal Shield Insurance,Workers Comp,12/31/2024,USD,WA,23,24,29,15,2,73.9,6,82.76,100,237,12.83,95.89,-1.47,0.09
Crescent National,Commercial Auto,12/31/2023,USD,CA,58,60,66,40,5,77.6,12,90.91,98.28,40,9.12,93.11,9.66,2.46
Crescent National,Commercial Auto,12/31/2024,USD,CA,103,106,111,68,7,72.8,22,95.5,94.17,27,13.71,92.04,10.75,6.28
Crescent National,Commercial Auto,12/31/2023,USD,FL,654,674,733,455,52,77.5,146,91.95,99.85,40,13.98,91.89,8.93,2.09
Crescent National,Commercial Auto,12/31/2024,USD,FL,615,633,665,405,40,72.4,138,95.19,94.8,22,10.69,92.16,10.04,5.84
Crescent National,Commercial Auto,12/31/2023,USD,MA,16,17,19,11,1,75,4,89.47,100,37,12.67,92.07,10.08,2.42
Crescent National,Commercial Auto,12/31/2024,USD,MA,58,60,63,38,4,72.4,14,95.24,96.55,18,14.65,91.03,9.76,5.88
Crescent National,Commercial Auto,12/31/2023,USD,MD,88,91,99,61,7,77.3,18,91.92,97.73,31,8.22,90.86,11.5,2.37
Crescent National,Commercial Auto,12/31/2024,USD,MD,557,574,604,367,36,72.4,132,95.03,96.05,20,5.83,90.33,10.71,6.15
Crescent National,Commercial Auto,12/31/2023,USD,NC,363,374,407,252,29,77.4,92,91.89,102.75,35,13.36,91.32,11.26,2.02
Crescent National,Commercial Auto,12/31/2024,USD,NC,249,256,270,164,16,72.3,52,94.81,93.17,21,9.27,91.91,10.62,7.83
Crescent National,Commercial Auto,12/31/2023,USD,NJ,299,308,335,208,24,77.6,85,91.94,106.02,36,13.64,93.1,10.03,2.29
Crescent National,Commercial Auto,12/31/2024,USD,NJ,359,370,389,236,23,72.1,74,95.12,92.76,17,7.9,94.69,11.03,5.47
Crescent National,Commercial Auto,12/31/2023,USD,NY,445,458,499,309,36,77.5,130,91.78,106.74,41,8.7,92.56,9.14,2.79
Crescent National,Commercial Auto,12/31/2024,USD,NY,1324,1364,1434,871,86,72.3,278,95.12,93.28,24,14.62,92.95,8,6.76
Crescent National,Commercial Auto,12/31/2023,USD,OR,19,20,23,13,1,73.7,5,86.96,100,42,7.77,91.58,8.52,2.61
Crescent National,Commercial Auto,12/31/2024,USD,OR,14,15,17,9,1,71.4,4,88.24,100,22,11.02,91.85,10.79,8.23
Crescent National,Commercial Auto,12/31/2023,USD,VA,180,185,201,125,14,77.2,54,92.04,107.22,34,12.17,90.49,11.63,2.79
Crescent National,Commercial Auto,12/31/2024,USD,VA,899,926,973,592,58,72.3,252,95.17,100.33,21,13.37,90.28,9.79,7.7
Crescent National,Commercial Auto,12/31/2023,USD,WA,277,285,310,193,22,77.6,77,91.94,105.42,37,6.43,89.24,10.81,2.54
Crescent National,Commercial Auto,12/31/2024,USD,WA,35,36,38,23,2,71.4,9,94.74,97.14,21,6.89,92.94,8,7.73
Crescent National,Homeowners,12/31/2023,USD,CA,2651,2704,2731,1775,225,75.4,954,99.01,111.43,25,0.65,96.74,12.43,1.62
Crescent National,Homeowners,12/31/2024,USD,CA,1244,1269,1282,812,81,71.8,447,98.99,107.72,29,0.66,95.78,12.29,4.93
Crescent National,Homeowners,12/31/2023,USD,FL,4018,4098,4139,2691,342,75.5,1446,99.01,111.47,21,0.31,94.18,12.03,1.22
Crescent National,Homeowners,12/31/2024,USD,FL,220,224,226,144,14,71.8,72,99.12,104.55,19,0.8,96.39,13.15,3.46
Crescent National,Homeowners,12/31/2023,USD,MA,545,556,562,365,46,75.4,196,98.93,111.38,23,0.59,96.25,13.98,1.6
Crescent National,Homeowners,12/31/2024,USD,MA,705,719,726,460,46,71.8,244,99.04,106.38,25,0.9,98,10.64,4.06
Crescent National,Homeowners,12/31/2023,USD,MD,1919,1957,1977,1285,163,75.5,691,98.99,111.46,21,0.58,95,12.88,1.89
Crescent National,Homeowners,12/31/2024,USD,MD,225,230,232,147,15,72,78,99.14,106.67,22,0.6,98,12.14,3.13
Crescent National,Homeowners,12/31/2023,USD,NC,188,192,194,126,16,75.5,68,98.97,111.7,23,0.51,96.07,11.4,1.01
Crescent National,Homeowners,12/31/2024,USD,NC,41,42,43,27,3,73.2,15,97.67,109.76,22,0.83,98,11.58,2.23
Crescent National,Homeowners,12/31/2023,USD,NJ,31,32,33,21,3,77.4,11,96.97,112.9,22,0.53,95.54,11.07,1.22
Crescent National,Homeowners,12/31/2024,USD,NJ,131,134,135,85,9,71.8,45,99.26,106.11,24,0.85,96.34,14.91,5
Crescent National,Homeowners,12/31/2023,USD,NY,4339,4426,4470,2906,369,75.5,1562,99.02,111.48,24,0.73,95.12,10.96,1.24
Crescent National,Homeowners,12/31/2024,USD,NY,391,399,403,255,25,71.6,133,99.01,105.63,25,0.76,95.35,12.38,5
Crescent National,Homeowners,12/31/2023,USD,OR,3113,3175,3207,2085,265,75.5,1121,99,111.5,18,0.73,94.37,12.58,1.09
Crescent National,Homeowners,12/31/2024,USD,OR,178,182,184,116,12,71.9,63,98.91,107.3,23,0.5,96.1,14.29,3.04
Crescent National,Homeowners,12/31/2023,USD,VA,5034,5135,5186,3371,428,75.5,1812,99.02,111.46,21,0.54,94.3,10.77,1.13
Crescent National,Homeowners,12/31/2024,USD,VA,449,458,463,293,29,71.7,150,98.92,105.12,23,0.28,95.92,11.99,4.93
Crescent National,Homeowners,12/31/2023,USD,WA,2319,2365,2389,1553,197,75.5,835,99,111.47,23,0.63,94.42,10.17,1.63
Crescent National,Homeowners,12/31/2024,USD,WA,110,112,113,72,7,71.8,36,99.12,104.55,24,0.23,95.16,10.74,2.44
Crescent National,Personal Auto,12/31/2023,USD,CA,2813,2897,3235,1838,225,73.3,899,89.55,105.3,19,3.75,96.63,11.58,2.44
Crescent National,Personal Auto,12/31/2024,USD,CA,919,947,1047,588,69,71.5,274,90.45,101.31,25,3.02,96.83,13.38,6.53
Crescent National,Personal Auto,12/31/2023,USD,FL,3171,3266,3647,2072,254,73.4,998,89.55,104.82,18,2.75,95.04,11.07,2.3
Crescent National,Personal Auto,12/31/2024,USD,FL,2989,3079,3405,1912,224,71.5,889,90.43,101.2,16,3.32,95.22,11.79,6
Crescent National,Personal Auto,12/31/2023,USD,MA,571,588,657,373,46,73.4,181,89.5,105.08,14,3.69,95.81,12.48,2.45
Crescent National,Personal Auto,12/31/2024,USD,MA,62,64,71,40,5,72.6,18,90.14,101.61,20,3.7,95.2,12.53,5.3
Crescent National,Personal Auto,12/31/2023,USD,MD,278,286,319,182,22,73.4,88,89.66,105.04,22,2.67,95.76,10.76,2.24
Crescent National,Personal Auto,12/31/2024,USD,MD,908,935,1034,581,68,71.5,276,90.43,101.87,11,3.84,95.21,13.27,6.62
